AMI,NMI,ARI,RI,H,C,V
0.8558463979990115,0.8580888250387216,0.9458583699208406,0.98950744639016,0.8634959196695473,0.8527490260021465,0.8580888250387216
0.8560181652239087,0.8582689667004114,0.9463732835896422,0.9896031765705852,0.8648960783717364,0.8517426408936647,0.8582689667004114
0.853414392187314,0.8557086517064324,0.9418648327421631,0.9886799460718418,0.865400713488659,0.8462312781589736,0.8557086517064323
0.8746110438094604,0.8766486191618661,0.9520839118638292,0.9907584835062392,0.8869055072725102,0.8666262566048022,0.8766486191618662
0.8498598391974077,0.8521968179609272,0.9404135063199368,0.988401511626029,0.8608231742466396,0.8437416367006876,0.8521968179609273
0.8536163263192509,0.855908510244215,0.9445665998115056,0.9892294720501676,0.864248785718289,0.8477276687994613,0.8559085102442149
0.8579963937397819,0.8602158520721629,0.9496587241974952,0.9902636960356906,0.8665443518683642,0.8539791180115874,0.8602158520721628
0.8556417897732642,0.85790156056974,0.9504051923893418,0.990423460739452,0.8620029244670387,0.8538390399989183,0.85790156056974
0.8512147008173185,0.8535417823427273,0.940049257002561,0.9883094763770404,0.8640930179570022,0.8432451155375043,0.8535417823427272
0.8617941233573332,0.8639625127531855,0.953720564637896,0.9910798486420868,0.8673979271026646,0.8605542036400146,0.8639625127531855
0.862030283919413,0.8641972210952189,0.9523678685732696,0.9908088228389768,0.8687488822470882,0.8596930066543315,0.864197221095219
0.8610372861148622,0.86321719901091,0.950981263833254,0.9905309377031742,0.8682199908056518,0.8582717303328806,0.86321719901091
0.8554352592481319,0.8577006077754429,0.9418819428548074,0.988691148240086,0.8673838168195738,0.8482312125782068,0.8577006077754428
0.8605522070133713,0.8627410113915902,0.950072897812399,0.9903483273369338,0.8684265899544762,0.8571293954270045,0.8627410113915902
0.8618216860914546,0.8639915808106697,0.949669946697937,0.9902596583723672,0.8705940378354952,0.8574885141482548,0.8639915808106698
0.851150871557344,0.8534778615543818,0.947110751999691,0.9897622323357864,0.8580322270171222,0.8489715892221142,0.8534778615543817
0.8626481930198827,0.8647819216204524,0.9518725470664676,0.990710491652178,0.867166987005099,0.8624099400687365,0.8647819216204523
0.859109716801914,0.8613231134813425,0.9500494366101536,0.990343726278728,0.867200301429322,0.8555250510144252,0.8613231134813425
0.8584599717660872,0.8606648730563595,0.9491357157291824,0.9901601487512728,0.8654590258862102,0.8559235414098566,0.8606648730563595
0.8536130557916427,0.8559084969194074,0.9409309909148096,0.9885060025968748,0.8657685045199994,0.8462705463864827,0.8559084969194074
0.8617848160562652,0.8639580505005517,0.9487407183364619,0.9900796490125002,0.8709421646473697,0.8570850569605407,0.8639580505005516
